ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
103342_at	-1.8413554240782766	10.786351920640117	-10.660704387063896	6.53763366415623e-8	4.08209845989915e-6	8.58255917905707	ENSMUSG00000030619
97994_at	-1.8531620252461902	8.668910842723452	-15.31494727372545	7.301804510531109e-10	1.5832559071374094e-7	13.13798181074431	ENSMUSG00000000782
97347_at	-1.8629793840651665	9.76504003537091	-8.577618047179406	8.43958952909115e-7	2.7815033554239987e-5	5.943619467145023	ENSMUSG00000040488
100062_at	-1.8704469974696725	10.07778020618068	-10.540680384863936	7.49243488710165e-8	4.434385159721583e-6	8.442502929716598	ENSMUSG00000041859.1
96293_at	-1.8749905116702354	10.950443543187403	-12.960071291727846	5.962371885107711e-9	6.648044651895097e-7	11.027162831966809	ENSMUSG00000042462
96294_s_at	-1.906243276439744	9.815622694902626	-10.96536233588018	4.650765387555047e-8	3.226597675543746e-6	8.932077105464142	ENSMUSG00000042462.1
97249_at	-1.9068828637086668	10.03009424873743	-5.9606937737164225	4.218533821020534e-5	5.425442879186862e-4	1.8899060038971722	ENSMUSG00000061286
102809_s_at	-1.9348458157666197	8.17039208458353	-6.94285286654934	8.75923142486023e-6	1.6530868302873424e-4	3.5185186796048153	ENSMUSG00000000409
97846_at	-1.9366496196134086	10.241088269974691	-10.910598959019705	4.9415336800901955e-8	3.372124185626577e-6	8.869874133304094	ENSMUSG00000023932.1
100374_at	-1.9373816273327664	6.808240573022919	-7.190936126759874	6.010994961847391e-6	1.2412784654327087e-4	3.908947554486339	ENSMUSG00000024837
103674_f_at	-1.9445955175845686	8.445376506720708	-7.078707866008786	7.120098287273303e-6	1.404672786911043e-4	3.7333556329785615	ENSMUSG00000069049
97458_at	-1.968736223217272	9.67652157593109	-15.489807787753064	6.321187131864024e-10	1.489414809485244e-7	13.281500934048438	ENSMUSG00000029064
100894_at	-1.975489738507994	8.632452825642813	-9.15194556744186	3.992877519404786e-7	1.5582204519477177e-5	6.717744932836812	ENSMUSG00000029012
101844_at	-1.9787108761391927	8.441086213893053	-9.492536079743727	2.6038064711483525e-7	1.1251327062872188e-5	7.159333765344627	ENSMUSG00000017453
102792_at	-1.9788641794046047	9.320023335067008	-10.3844744195731	8.963657595455197e-8	4.866876350088891e-6	8.258182513871523	ENSMUSG00000029591
160699_at	-1.9797557505104741	8.81100257044834	-10.737278968469035	5.99693287015501e-8	3.8364008003503665e-6	8.671211181490111	ENSMUSG00000024791.1
93550_at	-1.9895782252520373	10.283615463402286	-6.164511443680544	3.0113086278706162e-5	4.2111111024466133e-4	2.2388386976671235	ENSMUSG00000020186
95063_at	-1.9947874486321826	9.603150227691437	-7.6166550037222684	3.2089708050081218e-6	7.78617932981992e-5	4.5597683357360435	ENSMUSG00000055612
94024_at	-2.0071073054055137	10.430507163611495	-11.019104585050021	4.383106947111179e-8	3.1100136111093407e-6	8.992858024380407	ENSMUSG00000006585
101957_f_at	-2.02048515602441	10.442509864248237	-9.560662583470542	2.393730071260652e-7	1.0676036117822508e-5	7.246157154166738	ENSMUSG00000026496
103228_at	-2.031506653942002	7.5805706844356795	-8.811426844811594	6.196398431404927e-7	2.198313170777975e-5	6.263348038651365	ENSMUSG00000039431
93785_at	-2.0407050212600755	8.43563365305186	-6.371866779736659	2.149681064825489e-5	3.2539657136412977e-4	2.5879337934877285	ENSMUSG00000001827
94200_at	-2.0440210252872095	7.453025186708988	-7.0906443405581125	6.992468124076797e-6	1.3882661674637686e-4	3.752112101044103	ENSMUSG00000034486
98991_at	-2.062607430081556	8.8234282521998	-9.729554313615388	1.9469552558412804e-7	9.106208702226932e-6	7.459283818101623	ENSMUSG00000029920
100156_at	-2.0656736870931596	11.036248779811437	-17.05015019134343	1.8563295364990087e-10	6.100485066263059e-8	14.492032780349408	ENSMUSG00000005410
97206_at	-2.0760661947722525	7.931934063726398	-8.418061254239007	1.0456868096526163e-6	3.3198976937953314e-5	5.721719661898426	ENSMUSG00000027315
97895_f_at	-2.098683280048828	11.648674786644326	-13.112807362624741	5.15264517807112e-9	6.070399338089826e-7	11.175016998754401	ENSMUSG00000027018
96063_at	-2.1028505374011264	8.87210999157411	-7.465576046062716	3.999057696000179e-6	9.129841409076825e-5	4.331544010611863	ENSMUSG00000026187
160069_at	-2.133514534778241	9.093965685505466	-8.224363157238951	1.3617142241659998e-6	3.982456026085481e-5	5.44821071152608	ENSMUSG00000006715
160236_at	-2.1476793826604323	6.4300006771194465	-7.003720141928442	7.980344435605329e-6	1.5332083278744515e-4	3.6150820444308227	ENSMUSG00000055717
160068_at	-2.154008335113314	8.757499797567473	-6.475146576818759	1.8214772288190445e-5	2.872046418370231e-4	2.7595896815254175	ENSMUSG00000031609
101108_at	-2.1542637125654505	9.427741155081824	-8.383389850653181	1.0959551829934661e-6	3.401372490276029e-5	5.673097204199005	ENSMUSG00000028693
102925_at	-2.1556589204434315	7.077241291872032	-8.917638091339745	5.395566150262545e-7	2.011338211476975e-5	6.406493405039884	ENSMUSG00000031383
95612_at	-2.1613394662263232	10.318200082482562	-13.596594080225456	3.276351986843038e-9	4.4472916969234624e-7	11.632682161362283	ENSMUSG00000029363
103553_at	-2.1649751384923768	8.610227285991611	-14.487682463144573	1.4747609022348144e-9	2.630973449586909e-7	12.435567519989913	ENSMUSG00000026669
